Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Final Assignment - Account,Chrome 117.0.0.0,,,12-02-2024 11:15:04,12-02-2024 11:17:03,1m - 59.256s,PASSED
,,,,,,,
Test Cases/Final Assignment - Login,Chrome 117.0.0.0,,,12-02-2024 11:15:04,12-02-2024 11:15:19,15.234s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,12-02-2024 11:15:04,12-02-2024 11:15:06,1.677s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 117.0.0.0,,,12-02-2024 11:15:06,12-02-2024 11:15:08,1.683s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 117.0.0.0,,,12-02-2024 11:15:08,12-02-2024 11:15:10,2.554s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_OR_username""), UserName)",Chrome 117.0.0.0,,,12-02-2024 11:15:10,12-02-2024 11:15:11,0.933s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/label_Password""))",Chrome 117.0.0.0,,,12-02-2024 11:15:11,12-02-2024 11:15:14,3.238s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_Username_password""), Password)",Chrome 117.0.0.0,,,12-02-2024 11:15:14,12-02-2024 11:15:15,1.073s,PASSED
"if (rememberMe == ""yes"")",Chrome 117.0.0.0,,,12-02-2024 11:15:15,12-02-2024 11:15:16,0.499s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/button_SIGN IN""))",Chrome 117.0.0.0,,,12-02-2024 11:15:16,12-02-2024 11:15:16,0.494s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/span_namuu""))",Chrome 117.0.0.0,,,12-02-2024 11:15:16,12-02-2024 11:15:19,2.947s,PASSED
,,,,,,,
Test Cases/Final Assignment - Login,Chrome 117.0.0.0,,,12-02-2024 11:15:19,12-02-2024 11:15:34,14.585s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,12-02-2024 11:15:19,12-02-2024 11:15:20,0.847s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 117.0.0.0,,,12-02-2024 11:15:20,12-02-2024 11:15:23,2.693s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 117.0.0.0,,,12-02-2024 11:15:23,12-02-2024 11:15:27,4.220s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_OR_username""), UserName)",Chrome 117.0.0.0,,,12-02-2024 11:15:27,12-02-2024 11:15:28,0.908s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/label_Password""))",Chrome 117.0.0.0,,,12-02-2024 11:15:28,12-02-2024 11:15:29,1.149s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_Username_password""), Password)",Chrome 117.0.0.0,,,12-02-2024 11:15:29,12-02-2024 11:15:30,1.099s,PASSED
"if (rememberMe == ""yes"")",Chrome 117.0.0.0,,,12-02-2024 11:15:30,12-02-2024 11:15:30,0.001s,PASSED
else,Chrome 117.0.0.0,,,12-02-2024 11:15:30,12-02-2024 11:15:30,0.000s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/button_SIGN IN""))",Chrome 117.0.0.0,,,12-02-2024 11:15:30,12-02-2024 11:15:31,0.496s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/span_namuu""))",Chrome 117.0.0.0,,,12-02-2024 11:15:31,12-02-2024 11:15:34,3.160s,PASSED
,,,,,,,
Test Cases/Final Assignment - Login,Chrome 117.0.0.0,,,12-02-2024 11:15:34,12-02-2024 11:15:49,15.152s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,12-02-2024 11:15:34,12-02-2024 11:15:35,0.980s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 117.0.0.0,,,12-02-2024 11:15:35,12-02-2024 11:15:38,2.758s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 117.0.0.0,,,12-02-2024 11:15:38,12-02-2024 11:15:42,4.387s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_OR_username""), UserName)",Chrome 117.0.0.0,,,12-02-2024 11:15:42,12-02-2024 11:15:43,0.873s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/label_Password""))",Chrome 117.0.0.0,,,12-02-2024 11:15:43,12-02-2024 11:15:44,1.118s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_Username_password""), Password)",Chrome 117.0.0.0,,,12-02-2024 11:15:44,12-02-2024 11:15:45,1.076s,PASSED
"if (rememberMe == ""yes"")",Chrome 117.0.0.0,,,12-02-2024 11:15:45,12-02-2024 11:15:46,0.499s,PASSED
