Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Final Assignment - Account,Chrome 117.0.0.0,,,12-02-2024 11:31:27,12-02-2024 11:35:23,3m - 55.630s,PASSED
,,,,,,,
Test Cases/Final Assignment - Login,Chrome 117.0.0.0,,,12-02-2024 11:31:27,12-02-2024 11:31:43,15.348s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,12-02-2024 11:31:28,12-02-2024 11:31:29,1.399s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 117.0.0.0,,,12-02-2024 11:31:29,12-02-2024 11:31:32,2.802s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 117.0.0.0,,,12-02-2024 11:31:32,12-02-2024 11:31:36,4.284s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_OR_username""), UserName)",Chrome 117.0.0.0,,,12-02-2024 11:31:36,12-02-2024 11:31:37,0.918s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/label_Password""))",Chrome 117.0.0.0,,,12-02-2024 11:31:37,12-02-2024 11:31:38,1.124s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_Username_password""), Password)",Chrome 117.0.0.0,,,12-02-2024 11:31:38,12-02-2024 11:31:39,1.174s,PASSED
"if (rememberMe == ""yes"")",Chrome 117.0.0.0,,,12-02-2024 11:31:39,12-02-2024 11:31:40,0.501s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/button_SIGN IN""))",Chrome 117.0.0.0,,,12-02-2024 11:31:40,12-02-2024 11:31:40,0.501s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/span_namuu""))",Chrome 117.0.0.0,,,12-02-2024 11:31:40,12-02-2024 11:31:43,2.519s,PASSED
,,,,,,,
Test Cases/Final Assignment - Login,Chrome 117.0.0.0,,,12-02-2024 11:31:43,12-02-2024 11:31:58,14.804s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,12-02-2024 11:31:43,12-02-2024 11:31:44,0.843s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 117.0.0.0,,,12-02-2024 11:31:44,12-02-2024 11:31:46,2.661s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 117.0.0.0,,,12-02-2024 11:31:46,12-02-2024 11:31:51,4.382s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_OR_username""), UserName)",Chrome 117.0.0.0,,,12-02-2024 11:31:51,12-02-2024 11:31:52,0.916s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/label_Password""))",Chrome 117.0.0.0,,,12-02-2024 11:31:52,12-02-2024 11:31:53,1.132s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_Username_password""), Password)",Chrome 117.0.0.0,,,12-02-2024 11:31:53,12-02-2024 11:31:54,1.087s,PASSED
"if (rememberMe == ""yes"")",Chrome 117.0.0.0,,,12-02-2024 11:31:54,12-02-2024 11:31:54,0.001s,PASSED
else,Chrome 117.0.0.0,,,12-02-2024 11:31:54,12-02-2024 11:31:54,0.000s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/button_SIGN IN""))",Chrome 117.0.0.0,,,12-02-2024 11:31:54,12-02-2024 11:31:54,0.514s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/span_namuu""))",Chrome 117.0.0.0,,,12-02-2024 11:31:54,12-02-2024 11:31:58,3.258s,PASSED
,,,,,,,
Test Cases/Final Assignment - Login,Chrome 117.0.0.0,,,12-02-2024 11:31:58,12-02-2024 11:32:13,15.158s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,12-02-2024 11:31:58,12-02-2024 11:31:58,0.789s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 117.0.0.0,,,12-02-2024 11:31:58,12-02-2024 11:32:01,2.740s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 117.0.0.0,,,12-02-2024 11:32:01,12-02-2024 11:32:05,4.271s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_OR_username""), UserName)",Chrome 117.0.0.0,,,12-02-2024 11:32:05,12-02-2024 11:32:06,0.901s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/label_Password""))",Chrome 117.0.0.0,,,12-02-2024 11:32:06,12-02-2024 11:32:07,1.134s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_Username_password""), Password)",Chrome 117.0.0.0,,,12-02-2024 11:32:07,12-02-2024 11:32:09,1.069s,PASSED
"if (rememberMe == ""yes"")",Chrome 117.0.0.0,,,12-02-2024 11:32:09,12-02-2024 11:32:09,0.496s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/button_SIGN IN""))",Chrome 117.0.0.0,,,12-02-2024 11:32:09,12-02-2024 11:32:10,0.487s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/span_namuu""))",Chrome 117.0.0.0,,,12-02-2024 11:32:10,12-02-2024 11:32:13,3.262s,PASSED
,,,,,,,
Test Cases/Final Assignment - Login,Chrome 117.0.0.0,,,12-02-2024 11:32:13,12-02-2024 11:32:28,15.149s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,12-02-2024 11:32:13,12-02-2024 11:32:14,0.803s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 117.0.0.0,,,12-02-2024 11:32:14,12-02-2024 11:32:16,2.779s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 117.0.0.0,,,12-02-2024 11:32:16,12-02-2024 11:32:21,4.137s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_OR_username""), UserName)",Chrome 117.0.0.0,,,12-02-2024 11:32:21,12-02-2024 11:32:21,0.908s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/label_Password""))",Chrome 117.0.0.0,,,12-02-2024 11:32:21,12-02-2024 11:32:23,1.120s,PASSED
"setText(findTestObject(""Object Repository/Page_Advantage Shopping/input_Username_password""), Password)",Chrome 117.0.0.0,,,12-02-2024 11:32:23,12-02-2024 11:32:24,1.172s,PASSED
"if (rememberMe == ""yes"")",Chrome 117.0.0.0,,,12-02-2024 11:32:24,12-02-2024 11:32:24,0.000s,PASSED
else,Chrome 117.0.0.0,,,12-02-2024 11:32:24,12-02-2024 11:32:24,0.000s,PASSED
"click(findTestObject(""Object Repository/Page_Advantage Shopping/button_SIGN IN""))",Chrome 117.0.0.0,,,12-02-2024 11:32:24,12-02-2024 11:32:24,0.497s,PASSED
